번호,제조사,모델명,연식,주행거리,가격
1147,KG모빌리티(쌍용),뉴코란도 C 2.0 CVS 4WD 최고급형,14/03식,"98,592km",390만원
1148,혼다,어코드 10세대 1.5 터보,19/12식,"67,963km","1,850만원"
1149,벤츠,E-클래스 W213 E220d 카브리올레,18/10식,"89,511km",134만원
1150,기아,K5 하이브리드 3세대 트렌디,20/09식,"22,986km","1,940만원"
1151,벤츠,GLC-클래스 X253 GLC300e 4MATIC 쿠페,20/12식(21년형),"84,210km","4,399만원"
1152,기아,K5 3세대 2.0 LPI(렌터카용) 스탠다드,20/11식,"102,041km","1,430만원"
1153,KG모빌리티(쌍용),코란도 투리스모 4WD 샤토 9인승,14/06식,"132,360km",900만원
1154,현대,더 뉴 아반떼 1.6 GDi 모던 기본형,14/04식,"124,661km",550만원
1155,기타,제조사 기타 기타 전기차,19/12식,"18,293km","2,690만원"
1156,아우디,Q5 (FY) 45 TFSI 콰트로,20/05식,"83,445km","9,999만원"
1157,현대,쏘나타 (DN8) 1.6 터보 프리미엄,20/06식(21년형),"77,785km","1,750만원"
1158,쉐보레(GM대우),올 뉴 말리부 2.0 터보 LTZ 프리미엄,16/12식(17년형),"73,635km","1,199만원"
1159,르노코리아(삼성),SM5 노바 클래식,16/09식(17년형),"88,302km",599만원
1160,현대,더 뉴 그랜저 IG 하이브리드 캘리그래피,20/07식,"67,884km","2,920만원"
1161,르노코리아(삼성),뉴SM5 플래티넘 LPLi RE 기본형,13/05식,"129,106km",500만원
1162,마세라티,기블리 3.0 그란루쏘 3세대,19/08식,"62,559km","3,130만원"
1163,현대,그랜드 스타렉스 5인승 밴 모던,17/03식,"167,933km",970만원
1164,BMW,X3 (E83) 2.0d,08/10식,"153,793km",330만원
1165,현대,더 뉴 그랜저 IG 하이브리드 프리미엄 초이스,20/12식(21년형),"74,407km","2,659만원"
1166,기아,더 뉴 K5 럭셔리 기본형,13/10식(14년형),"139,624km",610만원
1167,포르쉐,카이맨 S 3.4 987C,07/06식,"117,531km","1,950만원"
1168,기아,New 스포티지 디젤(VGT) 2WD TLX 고급형,08/12식(09년형),"155,545km",250만원
1169,제네시스,GV80 3.5T 가솔린 AWD,23/12식,"12,722km","6,890만원"
1170,현대,싼타페 TM 디젤 2.0 2WD 프레스티지,20/06식,"143,065km","2,010만원"
1171,현대,쏘나타 (DN8) 2.0 프리미엄,19/12식(20년형),"158,896km","9,999만원"
1172,랜드로버,디스커버리 4 3.0 SDV6 SE,15/06식,"238,142km","9,999만원"
1173,현대,더 뉴 아반떼 (CN7) 1.6 LPi 인스퍼레이션,23/04식(24년형),"10,094km","2,100만원"
1174,현대,캐스퍼 터보 디 에센셜,22/10식(23년형),"21,476km","1,710만원"
1175,기아,스포티지 4세대 디젤 2.0 2WD 프레스티지,17/09식(18년형),"93,595km","1,390만원"
1176,현대,팰리세이드 (LX3) HEV 2.5T 2WD 9인승 익스클루시브,25/04식(26년형),500km,75만원
1177,현대,그랜저 IG 2.4 프리미엄 스페셜,17/06식(18년형),"88,340km","1,520만원"
1178,링컨,뉴 MKZ 하이브리드 2세대,18/10식,"68,207km","1,690만원"
1179,현대,쏘나타 (DN8) 2.0 LPG(렌터카용) 스마트,22/03식,"98,763km","1,540만원"
1180,기아,올 뉴 K7 2.4 GDI 리미티드,17/04식,"68,493km","1,829만원"
1181,현대,코나 디젤 1.6 2WD 모던 아트,18/04식,"92,697km","1,195만원"
1182,쉐보레(GM대우),스파크 LS 기본형,13/03식,"162,938km",200만원
1183,현대,더 뉴 그랜드 스타렉스 밴 3인승 스마트,20/10식(21년형),"25,678km","1,899만원"
1184,현대,스타리아 L3.5 라운지 9인승 모빌리티,22/03식,"119,417km","2,520만원"
1185,미니,쿠퍼 D 5도어 Mid 3세대,15/07식,"124,157km",750만원
1186,벤츠,GLA-클래스 H247 GLA220,21/05식,"11,485km","3,430만원"
1187,현대,그랜저 뉴 럭셔리 Q240 디럭스,09/06식,"108,405km",280만원
1188,벤츠,C-클래스 W205 C220 블루텍 아방가르드,15/01식,"79,447km","1,670만원"
1189,르노코리아(삼성),XM3 1.3 TCe RE 시그니처,22/04식(23년형),"86,303km","1,530만원"
1190,아우디,뉴 A4 2.0 TFSI 콰트로 B8,12/07식(13년형),"74,014km",800만원
1191,현대,제네시스 DH G330 모던 AWD,16/03식,"28,299km","1,750만원"
1192,현대,더 뉴 그랜저 IG 2.5 프리미엄 초이스,20/04식,"58,267km","2,340만원"
1193,기아,K5 2세대 2.0 MX 프레스티지,16/02식,"221,759km",720만원
1194,제네시스,G90 (RS4) 가솔린 3.5 터보 AWD,22/07식,"50,495km",117만원
1195,포르쉐,718 박스터 4.0 GTS,22/05식,"18,646km",209만원
1196,기아,더 뉴 레이 프레스티지,18/04식,"106,543km",899만원
1197,쉐보레(GM대우),올 뉴 크루즈 1.4 터보 LTZ 디럭스,17/11식,"61,613km",950만원
1198,현대,더 뉴 아반떼 (CN7) 1.6 스마트,24/07식,"16,062km","1,899만원"
1199,BMW,3시리즈 (G20) 320d M 스포츠,20/10식(21년형),"71,052km","3,550만원"
1200,제네시스,G80 (RG3) 가솔린 2.5 터보 2WD,21/04식,"78,062km","3,750만원"
1201,현대,LF 쏘나타 2.0 스마트,16/04식,"125,660km",860만원
1202,기아,올 뉴 K7 하이브리드 노블레스,19/01식,"54,998km","1,950만원"
1203,현대,그랜저 HG HG220 디젤 프리미엄,14/11식(15년형),"157,913km",790만원
1204,링컨,컨티넨탈 10세대 3.0 AWD,16/12식(17년형),"79,264km","1,850만원"
1205,기아,더 뉴 카니발 9인승 하이리무진 럭셔리,18/10식(19년형),"60,382km","2,190만원"
1206,테슬라,모델 3 롱 레인지,21/03식,"48,152km","3,600만원"
1207,기아,더 뉴 쏘렌토 4세대 HEV 1.6 4WD 그래비티,24/03식,"14,591km","5,400만원"
1208,벤츠,GLC-클래스 X253 GLC300 4MATIC 프리미엄 쿠페,20/04식,"73,133km","9,999만원"
1209,벤츠,CLS-클래스 C257 CLS450 4MATIC AMG Line,20/10식,"65,874km","4,950만원"
1210,미니,쿠퍼 5도어 기본형 3세대,21/03식,"40,148km","1,860만원"
1211,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,23/06식(24년형),"7,684km","6,299만원"
1212,기아,스팅어 마이스터 3.3 GT AWD 마스터즈 터보 패키지,20/10식(21년형),"44,080km","3,490만원"
1213,기아,더 뉴 쏘렌토 디젤 2.2 2WD 마스터 스페셜,19/06식(20년형),"73,119km","2,420만원"
1214,기아,더 K9 3.8 GDI AWD 베스트 셀렉션Ⅰ,21/04식,"137,186km","2,540만원"
1215,기아,K7 프리미어 3.0 GDI 노블레스,19/07식(20년형),"91,935km","2,200만원"
1216,미니,쿠퍼 컨트리맨 기본형 2세대,20/05식,"31,820km","1,990만원"
1217,현대,LF 쏘나타 LPI 프리미엄,15/03식,"149,592km",880만원
1218,기아,더 뉴 카니발 가솔린 9인승 하이리무진 노블레스 스페셜,20/01식,"48,275km","2,699만원"
1219,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,21/05식,"112,403km","2,930만원"
1220,기아,올 뉴 쏘렌토 디젤 2.0 2WD 노블레스 스페셜,17/02식,"63,177km","1,730만원"
1221,현대,더 뉴 그랜저 IG 3.0 LPi 프리미엄 초이스,20/03식,"63,833km","1,999만원"
1222,기아,올 뉴 K3 럭셔리,19/03식,"97,844km","1,200만원"
1223,기아,EV6 롱레인지 GT Line,22/12식(23년형),"35,931km",65만원
1224,기아,쏘렌토 4세대 디젤 2.2 2WD 프레스티지,21/03식,"79,331km","2,400만원"
1225,기아,더 뉴 쏘렌토 디젤 2.2 2WD 노블레스 스페셜,17/11식(18년형),"84,907km","1,950만원"
1226,현대,아이오닉5 롱레인지 프레스티지,22/08식(23년형),"88,264km",61만원
1227,벤츠,GLA-클래스 X156 GLA250 4MATIC,19/09식,"40,639km","2,450만원"
1228,현대,그랜저 IG 3.0 익스클루시브,17/01식,"59,265km","1,790만원"
1229,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,21/06식,"176,172km","3,230만원"
1230,기아,EV6 롱레인지 4WD 라이트,22/04식,"70,889km",47만원
1231,KG모빌리티(쌍용),렉스턴 스포츠 디젤 2.2 4WD 프레스티지,18/01식,"164,550km","1,360만원"
1232,현대,더 뉴 아반떼 (CN7) 1.6 인스퍼레이션,23/05식(24년형),"14,028km","2,470만원"
1233,KG모빌리티(쌍용),G4 렉스턴 디젤 2.2 4WD 헤리티지,17/11식(18년형),"87,833km","1,750만원"
1234,기아,모하비 더 마스터 디젤 3.0 4WD 6인승 마스터즈 그래비티,22/06식,"78,319km","5,660만원"
1235,기아,K7 프리미어 하이브리드 노블레스,20/01식,"124,695km","1,880만원"
1236,기아,쏘렌토 4세대 HEV 1.6 4WD 시그니처,22/11식(23년형),"95,136km","4,090만원"
1237,포르쉐,718 카이맨 4.0 GTS,21/04식,"36,000km","8,600만원"
1238,기아,더 뉴 기아 레이 밴 2인승 프레스티지 스페셜,22/09식(23년형),"43,741km","1,290만원"
1239,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,22/04식,"36,828km","4,370만원"
1240,기아,스포티지 4세대 디젤 2.0 2WD 노블레스,15/10식(16년형),"75,631km","1,380만원"
1241,기아,쏘렌토 4세대 HEV 1.6 2WD 프레스티지,20/06식(21년형),"74,728km","2,850만원"
1242,기아,K8 3.5 LPG 2WD 노블레스,21/07식(22년형),"77,992km","2,850만원"
1243,현대,아이오닉5 롱레인지 프레스티지,22/06식,"85,113km","2,800만원"
1244,현대,그랜드 스타렉스 12인승 왜건 CVX 럭셔리,11/02식,"172,733km",990만원
1245,폭스바겐,파사트 GT(B8) 2.0 TDI 프레스티지,18/04식,"55,150km","1,850만원"
1246,기아,K3 트렌디,13/08식,"73,059km",690만원
1247,현대,아반떼 AD 1.6 e-VGT 스마트,18/08식,"99,255km",850만원
1248,기아,더 뉴 K9 2세대 3.8 GDI AWD 베스트 셀렉션 Ⅰ,23/02식,"15,005km","4,800만원"
1249,현대,더 뉴 그랜저 IG 2.5 르블랑,21/12식(22년형),"33,997km","2,500만원"
1250,기아,K5 하이브리드 3세대 노블레스,20/09식,"23,711km","2,480만원"
1251,현대,더 뉴 그랜저 IG 하이브리드 프리미엄 초이스,21/01식,"100,591km","2,420만원"
1252,기아,올 뉴 K7 3.0 LPI 럭셔리 (렌터카),17/05식,"139,301km","1,170만원"
1253,현대,싼타페 DM 디젤(e-VGT) 2.0 2WD 프리미엄,13/04식,"78,580km","1,290만원"
1254,기아,더 뉴 카니발 가솔린 9인승 노블레스 스페셜,19/06식,"73,716km","2,300만원"
1255,현대,더 뉴 그랜저 IG 2.5 익스클루시브,21/04식,"102,505km","2,090만원"
1256,기아,더 뉴 기아 레이 시그니처,25/01식,965km,"1,850만원"
1257,현대,팰리세이드 가솔린 3.8 4WD 프레스티지,21/11식(22년형),"78,243km","2,740만원"
1258,재규어,F-TYPE 3.0 S 쿠페 X152,15/01식,"147,878km","2,650만원"
1259,기아,카니발 4세대 9인승 프레스티지,21/05식,"192,397km","1,990만원"
1260,제네시스,GV60 스탠다드,23/05식,"49,606km",77만원
1261,렉서스,뉴 ES350 슈프림 XV60,16/10식,"53,853km","2,290만원"
1262,제네시스,G80 3.3 GDI 럭셔리,18/01식,"217,430km","1,030만원"
1263,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,21/12식(22년형),"84,481km","3,630만원"
1264,기아,더 뉴 레이 밴 프레스티지 스페셜(1인승),22/07식,"20,420km",960만원
1265,기아,더 뉴 레이 럭셔리,20/04식,"151,329km",780만원
1266,기아,모닝 어반 (JA) 밴 스페셜,20/12식(21년형),"72,240km",620만원
1267,기아,니로 럭셔리,16/10식(17년형),"77,314km","1,230만원"
1268,기아,쏘렌토 4세대 HEV 1.6 2WD 프레스티지,21/12식(22년형),"104,267km","2,560만원"
1269,기아,카니발 4세대 가솔린 9인승 시그니처,20/10식(21년형),"57,170km","3,050만원"
1270,기아,올 뉴 K3 럭셔리,18/06식(19년형),"66,920km",990만원
1271,기아,올 뉴 모닝 디럭스 트렌디,15/01식,"82,265km",390만원
1272,기아,모닝 어반 (JA) 밴 스페셜,20/12식(21년형),"23,409km",750만원
1273,기아,올 뉴 K3 트렌디,19/06식,"56,535km","1,150만원"
1274,현대,스타리아 카고 3인승 모던,24/01식,326km,52만원
1275,르노코리아(삼성),SM6 2.0 LPe SE (렌터카),20/02식,"126,354km",750만원
1276,현대,더 뉴 아반떼 AD 1.6 스마트,20/01식,"100,119km","1,260만원"
1277,기아,더 뉴 카니발 9인승 프레스티지,20/01식,"101,011km","1,879만원"
1278,기아,카니발 4세대 9인승 노블레스,21/08식(22년형),"150,212km","2,400만원"
1279,닷지,램픽업 5.7,22/02식,"29,703km","8,850만원"
1280,현대,그랜저 (GN7) 3.5 LPG 2WD 프리미엄,23/01식,"56,807km","2,990만원"
1281,현대,스타리아 투어러 11인승 모던,23/08식,"58,965km","2,530만원"
1282,기아,셀토스 디젤 1.6 2WD 프레스티지,21/11식(22년형),"63,696km","8,888만원"
1283,현대,아반떼 (CN7) 1.6 스마트,22/07식(23년형),"59,290km","1,670만원"
1284,현대,스타리아 카고 5인승 모던,22/10식(23년형),"62,352km","2,270만원"
1285,기아,스포티지 더 볼드 디젤 2.0 2WD 프레스티지,20/07식,"103,139km",33만원
1286,기아,K5 3세대 2.0 LPI(렌터카용) 트렌디,21/07식(22년형),"74,078km","9,999만원"
1287,현대,LF 쏘나타 LPI 택시형 스타일,15/01식,"187,345km",429만원
1288,KG모빌리티(쌍용),렉스턴 스포츠 칸 디젤 2.2 4WD 노블레스 (5링크),19/12식(20년형),"56,769km","2,170만원"
1289,기아,카니발 4세대 9인승 프레스티지,21/06식,"183,792km","1,850만원"
1290,기아,카니발 4세대 9인승 프레스티지,21/07식,"63,291km","2,600만원"
1291,현대,그랜드 스타렉스 12인승 왜건 CVX 럭셔리,15/05식(16년형),"181,881km","1,070만원"
1292,아우디,뉴 A6 55 TDI 콰트로 스포츠 C7,16/02식,"180,103km","1,990만원"
1293,기아,EV6 롱레인지 에어,21/11식(22년형),"90,001km","2,700만원"
1294,기아,카니발 4세대 9인승 시그니처,21/06식,"60,888km","3,030만원"
1295,링컨,에비에이터 2세대 3.0 블랙라벨 AWD,23/12식,"5,905km","7,650만원"
1296,기아,카니발 4세대 7인승 시그니처,22/06식(23년형),"79,988km","3,500만원"
1297,현대,그랜저 IG 2.4 익스클루시브 스페셜,19/03식,"142,275km","1,390만원"
1298,기아,더 뉴 니로 1.6 HEV 트렌디,21/12식(22년형),"46,012km","1,800만원"
1299,기아,K5 3세대 2.0 LPI(렌터카용) 트렌디,20/09식,"139,747km",29만원
1300,제네시스,G90 3.8 AWD 프리미엄 럭셔리,21/05식,"158,632km","4,380만원"
1301,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,21/05식,"110,688km","3,300만원"
1302,기아,쏘렌토 4세대 디젤 2.2 2WD 프레스티지,21/05식,"102,901km","2,670만원"
1303,기아,K8 하이브리드 시그니처,21/06식(22년형),"85,709km","3,250만원"
1304,제네시스,G90 3.8 럭셔리,20/04식,"96,042km","3,290만원"
1305,BMW,1시리즈 (F20) 118d 스포츠 5도어,16/12식,"94,957km","1,450만원"
1306,기아,더 뉴 쏘렌토 4세대 HEV 1.6 2WD 시그니처,24/05식,"15,985km","4,690만원"
1307,기아,쏘렌토 4세대 디젤 2.2 2WD 프레스티지,20/08식(21년형),"103,729km","2,200만원"
1308,볼보,S90 B5 인스크립션,20/10식(21년형),"95,618km","3,290만원"
1309,벤츠,E-클래스 W213 E300e 4MATIC 익스클루시브,21/10식,"45,534km","4,949만원"
1310,기아,더 K9 3.8 GDI AWD 플래티넘Ⅱ,19/07식,"48,234km","2,950만원"
1311,기아,셀토스 가솔린 1.6 터보 2WD 시그니처,21/05식(22년형),"36,099km",31만원
1312,기아,EV6 롱레인지 어스,21/09식(22년형),"93,766km","2,690만원"
1313,현대,더 뉴 팰리세이드 가솔린 3.8 2WD 캘리그래피,22/12식(23년형),"10,442km","3,870만원"
1314,현대,더 뉴 아반떼 AD 1.6 스마트 초이스,20/02식,"119,465km","1,090만원"
1315,현대,쏘나타 (DN8) 2.0 LPG(렌터카용) 스마트,21/08식(22년형),"127,059km","1,400만원"
1316,기아,스포티지 4세대 디젤 2.0 2WD 노블레스,16/10식(17년형),"107,683km","1,340만원"
1317,현대,아반떼 하이브리드 (CN7) 스마트,21/07식,"9,377km","1,570만원"
1318,아우디,A6 (C8) 45 TFSI 콰트로 프리미엄,23/10식,"22,203km","5,450만원"
1319,기아,더 뉴 프라이드 5DR 1.6 GDI 럭셔리,16/12식,"122,069km",720만원
1320,푸조,2008 1.6 e-HDi 펠린 L,15/10식(16년형),"24,140km",880만원
1321,기아,더 뉴 니로 1.6 HEV 노블레스 스페셜,20/01식,"48,353km","2,249만원"
1322,KG모빌리티(쌍용),더 뉴 렉스턴 스포츠 칸 디젤 2.2 4WD 프레스티지,21/12식,"25,936km","2,390만원"
1323,기아,셀토스 디젤 1.6 2WD 프레스티지,21/05식(22년형),"62,391km","1,680만원"
1324,현대,팰리세이드 가솔린 3.8 4WD 익스클루시브,21/05식(22년형),"57,025km","2,400만원"
1325,기아,더 뉴 모하비 디젤 3.0 4WD 프레지던트,16/08식(17년형),"208,789km","1,100만원"
1326,KG모빌리티(쌍용),G4 렉스턴 디젤 2.2 2WD 마제스티 스페셜,19/09식(20년형),"86,413km","2,030만원"
1327,기아,카니발 4세대 9인승 노블레스,20/09식(21년형),"102,818km","7,777만원"
1328,제네시스,GV80 3.0 디젤 AWD,20/06식,"121,838km","3,750만원"
1329,벤츠,C-클래스 W205 C220 d 4MATIC 익스클루시브,19/10식,"59,636km","2,450만원"
1330,현대,아반떼 (CN7) 1.6 터보 N Line 인스퍼레이션,21/01식,"79,378km","1,850만원"
1331,현대,아반떼 (CN7) 1.6 모던,20/04식(21년형),"72,339km","1,640만원"
1332,기아,올 뉴 K7 하이브리드 프레스티지,17/04식,"200,569km","1,050만원"
1333,BMW,4시리즈 (F32) 420d 럭셔리 그란쿠페,18/07식,"73,452km","2,040만원"
1334,기아,K3 노블레스,15/08식,"81,570km",719만원
1335,현대,더 뉴 그랜저 IG 2.5 프리미엄 초이스,20/12식(21년형),"86,229km","1,780만원"
1336,현대,그랜저 HG HG220 디젤 프리미엄 컬렉션,16/07식,"115,993km","1,240만원"
1337,르노코리아(삼성),QM3 RE,14/04식,"331,639km",269만원
1338,현대,올 뉴 투싼 디젤 2.0 2WD 프리미엄,18/09식(19년형),"118,818km","1,550만원"
1339,폴스타,폴스타 2 롱레인지 싱글모터,23/07식,"43,285km","4,050만원"
1340,기아,K5 하이브리드 2세대 노블레스,15/12식(16년형),"167,535km",949만원
1341,현대,에쿠스(신형) VS380 프라임,12/10식,"183,000km",690만원
1342,현대,쏘나타 하이브리드 (DN8) 프리미엄,21/05식,"55,220km","9,999만원"
1343,현대,투싼 (NX4) 가솔린 1.6 터보 2WD 인스퍼레이션,23/03식,"39,656km","9,999만원"
1344,기아,더 뉴 기아 레이 시그니처,22/11식(23년형),"54,396km","1,610만원"
1345,벤츠,GLC-클래스 X253 GLC220 d 4MATIC,16/12식(17년형),"112,191km","2,180만원"
1346,제네시스,G80 (RG3) 가솔린 3.5 터보 2WD,24/03식(25년형),"24,695km","5,970만원"
1347,벤츠,E-클래스 W213 E350 4MATIC AMG Line,21/09식,"24,519km","9,999만원"
1348,기아,더 뉴 K5 2세대 2.0 인텔리전트,18/03식(19년형),"63,388km","1,560만원"
1349,쉐보레(GM대우),더 뉴 트랙스 1.4 LTZ,17/03식,"144,593km",789만원
1350,르노코리아(삼성),XM3 1.3 TCe RE 시그니처,20/03식,"32,958km","1,650만원"
1351,기아,더 K9 3.8 GDI AWD 그랜드 플래티넘,19/07식(20년형),"50,916km","3,990만원"
1352,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,20/06식(21년형),"55,354km","3,789만원"
1353,아우디,A5 35 TDI 콰트로 다이나믹 스포츠백 8TA,14/11식(15년형),"205,068km","1,050만원"
1354,기아,더 뉴 카니발 4세대 가솔린 7인승 시그니처,23/12식(24년형),"13,809km","4,990만원"
1355,현대,더 뉴 싼타페 HEV 1.6 2WD 캘리그래피,21/07식(22년형),"44,037km","4,150만원"
1356,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,22/04식,"28,267km","5,150만원"
1357,포르쉐,718 박스터 S 2.5,16/09식(17년형),"81,694km","5,960만원"
1358,현대,쏘나타 (DN8) 1.6 터보 프리미엄 플러스,22/12식(23년형),"63,845km","2,240만원"
1359,기아,K8 3.5 가솔린 2WD 노블레스,22/06식(23년형),"10,927km","2,750만원"
1360,현대,아반떼 MD M16 GDI 럭셔리,11/07식(12년형),"61,455km",460만원
1361,사브,9-3 2세대 1.9 TiD 벡터,09/06식,"173,027km","9,990만원"
1362,현대,더 뉴 아반떼 (CN7) 1.6 인스퍼레이션 N Line,23/10식(24년형),"51,429km","2,250만원"
1363,현대,벨로스터 (JS) 1.6 터보 스포츠 코어,18/07식,"99,313km","1,099만원"
1364,기아,더 뉴 레이 스탠다드,21/11식(22년형),"22,225km","9,999만원"
1365,벤츠,E-클래스 W213 E300 4MATIC 익스클루시브,18/06식,"30,726km","3,590만원"
1366,랜드로버,디스커버리 스포츠 2세대 D180 SE,20/03식,"80,718km","2,430만원"
1367,쉐보레(GM대우),스파크 LS 스타,13/10식(14년형),"85,836km",290만원
1368,기아,더 뉴 레이 트렌디,18/08식,"29,342km","1,029만원"
1369,재규어,F-PACE 20d 프레스티지,17/11식(18년형),"124,094km","1,420만원"
1370,기아,올 뉴 K3 럭셔리,19/03식,"135,475km",990만원
1371,기아,셀토스 가솔린 1.6 터보 2WD 노블레스,20/05식,"49,754km","1,950만원"
1372,현대,캐스퍼 터보 인스퍼레이션,22/09식(23년형),"47,056km","1,750만원"
1373,제네시스,G80 3.3 GDI AWD 럭셔리,17/01식,"124,214km","1,560만원"
1374,시트로엥/DS,그랜드 C4 피카소 2.0 B-HDI 인텐시브,14/06식,"181,962km",470만원
1375,르노코리아(삼성),SM7 노바 LPLI 2.0 LPe 장애인용,16/06식,"249,932km",399만원
1376,현대,NF 쏘나타 트랜스폼 LPG N20 프리미어,08/01식,"118,577km",330만원
1377,현대,그랜저 IG 3.0 LPi 모던 (렌터카),19/08식,"63,847km","1,730만원"
1378,르노코리아(삼성),QM3 RE,14/11식(15년형),"209,249km",290만원
1379,현대,엑셀 5DR 1.5 GSXi,94/01식,"170,822km",520만원
1380,기아,더 뉴 레이 밴 프레스티지 스페셜,21/06식,"36,697km",999만원
1381,볼보,S60 D4 2세대,15/06식,"100,716km",790만원
1382,현대,더 뉴 그랜드 스타렉스 캠핑카,18/10식(19년형),"70,961km","2,200만원"
1383,제네시스,G80 3.3 GDI 럭셔리,19/04식,"161,020km","9,999만원"
1384,제네시스,G90 5.0 AWD 프레스티지,19/12식,"107,199km","3,499만원"
1385,폭스바겐,골프 7세대 1.6 TDI,15/06식,"191,375km",970만원
1386,미니,쿠퍼 S 5도어 클래식 3세대,23/04식,"39,158km","2,790만원"
1387,기아,카니발 4세대 9인승 시그니처,22/03식,"51,500km",78만원
1388,기아,올 뉴 쏘울 1.6 디젤 프레스티지,14/06식,"60,281km",750만원
1389,제네시스,G80 3.3 GDI 프리미엄 럭셔리,17/10식(18년형),"154,345km","1,590만원"
1390,기아,쏘렌토 4세대 HEV 1.6 2WD 시그니처,22/06식,"36,459km","3,690만원"
1391,기아,더 뉴 K5 2세대 2.0 LPI 렌터카용 프레스티지,18/07식(19년형),"120,533km","1,099만원"
1392,기아,K7 프리미어 2.5 GDI 노블레스,19/09식(20년형),"64,200km","2,050만원"
1393,기아,카니발 R 그랜드 카니발 GLX 고급형,13/10식(14년형),"285,963km",220만원
1394,벤츠,E-클래스 W212 E200 카브리올레,13/09식(14년형),"186,547km",990만원
1395,제네시스,G80 (RG3) 가솔린 3.5 터보 2WD,23/09식(24년형),"19,057km","4,750만원"
1396,제네시스,G80 (RG3) 가솔린 2.5 터보 2WD,22/06식,"32,475km","4,160만원"
1397,기아,더 뉴 K9 2세대 3.8 GDI AWD 베스트 셀렉션 Ⅱ,25/01식,"72,222km","5,980만원"
1398,제네시스,EQ900 3.8 GDI 럭셔리,16/06식,"107,308km","1,950만원"
1399,현대,코나 1.6 터보 2WD 모던 팝,17/10식(18년형),"53,073km","1,349만원"
1400,현대,쏘나타 (DN8) 2.0 프리미엄,19/10식(20년형),"40,755km","1,749만원"
1401,BMW,X1 (F48) xDrive 18d,16/10식,"166,681km","1,350만원"
1402,기아,더 뉴 카니발 9인승 프레스티지,19/06식,"105,500km","1,700만원"
1403,도요타,RAV4 2.5 4WD 하이브리드 4세대,18/06식,"74,048km","2,340만원"
1404,벤츠,E-클래스 W213 E350 4MATIC AMG Line,22/04식,"65,125km","6,200만원"
1405,현대,쏘나타 (DN8) 2.0 모던,22/02식,"92,517km","1,640만원"
1406,기아,더 뉴 카니발 9인승 프레스티지,18/08식(19년형),"168,038km","1,340만원"
1407,기아,올 뉴 K3 럭셔리,18/05식(19년형),"140,850km",820만원
1408,쉐보레(GM대우),더 뉴 스파크 프리미어,21/06식,"10,635km","1,020만원"
1409,BMW,X4 (G02) xDrive20i M 스포츠,22/11식(23년형),"34,350km","7,050만원"
1410,현대,투싼 하이브리드 (NX4) 프리미엄 2WD,21/06식,"39,525km","2,460만원"
1411,현대,더 뉴 그랜드 스타렉스 밴 5인승 모던,20/07식(21년형),"81,358km","1,750만원"
1412,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,20/09식(21년형),"108,663km","3,230만원"
1413,렉서스,NX350h 2세대 프리미엄,24/09식(25년형),"13,862km","6,150만원"
1414,현대,더 뉴 그랜저 IG 2.5 익스클루시브,21/03식,"61,758km","2,590만원"
1415,KG모빌리티(쌍용),G4 렉스턴 디젤 2.2 4WD 유라시아 에디션,18/05식,"77,390km","1,799만원"
1416,BMW,X3 (G01) xDrive 20i M 스포츠,23/02식,"34,668km","5,299만원"
1417,테슬라,모델 Y 롱 레인지,21/05식,"57,133km","4,390만원"
1418,현대,더 뉴 그랜저 IG 2.5 익스클루시브,20/02식,"77,631km","2,150만원"
1419,현대,더 뉴 그랜드 스타렉스 12인승 LPi 스마트,19/09식(20년형),"14,490km","2,050만원"
1420,현대,더 뉴 그랜저 IG 3.0 LPi (렌터카용) 모던,21/10식(22년형),"84,132km","1,899만원"
1421,벤츠,S-클래스 W222 S560L 4MATIC,18/01식,"99,964km","5,500만원"
1422,KG모빌리티(쌍용),렉스턴 스포츠 디젤 2.2 4WD 어드벤처,19/02식,"53,538km","1,590만원"
1423,포르쉐,카이엔 (PO536) 3.0,23/12식(24년형),"14,034km","14,150만원"
1424,쉐보레(GM대우),올란도 LPG LT 세이프티팩,17/07식(18년형),"102,763km",820만원
1425,현대,쏘나타 (DN8) 2.0 모던,22/03식,"53,546km","1,800만원"
1426,재규어,XE 20t 프레스티지,19/01식,"50,412km","1,230만원"
1427,제네시스,G70 3.3T 스포츠 프레스티지,19/10식,"85,512km","2,450만원"
1428,BMW,i5 (G60) eDrive 40 M 스포츠 프로,23/12식(24년형),"39,934km","7,250만원"
1429,현대,캐스퍼 모던,21/10식(22년형),"76,559km","1,280만원"
1430,BMW,5시리즈 (G30) 530i M 스포츠 플러스,17/05식,"84,069km","2,520만원"
1431,현대,그랜저 IG 2.2 디젤 프리미엄,17/03식,"92,848km","1,750만원"
1432,현대,더 뉴 그랜저 IG 하이브리드 익스클루시브,22/04식,"60,129km","2,750만원"
1433,벤츠,GLS-클래스 X166 GLS350 d 4MATIC,16/12식(17년형),"138,976km","3,590만원"
